"","race","gender","total_months_incarcerated"
"185","Hispanic","Female",0
"186","Black","Female",0
"187","Hispanic","Female",0
"188","Black","Male",6
"189","Hispanic","Male",0
"190","Non-Black / Non-Hispanic","Female",0
"191","Non-Black / Non-Hispanic","Female",0
"192","Non-Black / Non-Hispanic","Male",0
"193","Non-Black / Non-Hispanic","Male",0
"194","Non-Black / Non-Hispanic","Female",0
"195","Non-Black / Non-Hispanic","Male",0
"196","Non-Black / Non-Hispanic","Female",0
"197","Non-Black / Non-Hispanic","Female",0
"198","Non-Black / Non-Hispanic","Female",0
"199","Non-Black / Non-Hispanic","Male",0
"200","Non-Black / Non-Hispanic","Female",0
"201","Non-Black / Non-Hispanic","Female",0
"202","Hispanic","Male",0
"203","Hispanic","Male",0
"204","Hispanic","Female",0
"205","Hispanic","Male",0
"206","Hispanic","Female",0
"207","Hispanic","Female",0
"208","Hispanic","Male",0
"209","Hispanic","Female",0
"210","Hispanic","Female",0
"211","Hispanic","Male",0
"212","Mixed Race (Non-Hispanic)","Male",0
"213","Non-Black / Non-Hispanic","Male",0
"214","Non-Black / Non-Hispanic","Female",0
"215","Hispanic","Male",0
"216","Hispanic","Male",0
"217","Non-Black / Non-Hispanic","Female",0
"218","Non-Black / Non-Hispanic","Male",0
"219","Black","Female",0
"220","Mixed Race (Non-Hispanic)","Female",0
"221","Non-Black / Non-Hispanic","Male",0
"222","Non-Black / Non-Hispanic","Female",0
"223","Hispanic","Male",0
"224","Hispanic","Male",0
"225","Hispanic","Male",0
"226","Hispanic","Male",0
"227","Hispanic","Female",0
"228","Non-Black / Non-Hispanic","Female",0
"229","Hispanic","Female",0
"230","Non-Black / Non-Hispanic","Male",0
"231","Non-Black / Non-Hispanic","Female",0
"232","Non-Black / Non-Hispanic","Male",0
"233","Non-Black / Non-Hispanic","Female",0
"234","Hispanic","Female",0
"235","Hispanic","Male",0
"236","Mixed Race (Non-Hispanic)","Female",0
"237","Hispanic","Male",0
"238","Non-Black / Non-Hispanic","Female",0
"239","Hispanic","Male",0
"240","Non-Black / Non-Hispanic","Male",0
"241","Non-Black / Non-Hispanic","Female",0
"242","Non-Black / Non-Hispanic","Male",0
"243","Non-Black / Non-Hispanic","Male",2
"244","Hispanic","Male",0
"245","Hispanic","Female",0
"246","Non-Black / Non-Hispanic","Female",0
"247","Non-Black / Non-Hispanic","Male",0
"248","Non-Black / Non-Hispanic","Female",0
"249","Non-Black / Non-Hispanic","Male",0
"250","Non-Black / Non-Hispanic","Male",0
"251","Non-Black / Non-Hispanic","Male",0
"252","Non-Black / Non-Hispanic","Male",0
"253","Black","Male",0
"254","Black","Male",0
"255","Black","Male",0
"256","Black","Male",0
"257","Non-Black / Non-Hispanic","Male",0
"258","Hispanic","Male",0
"259","Non-Black / Non-Hispanic","Female",0
"260","Non-Black / Non-Hispanic","Female",0
"261","Hispanic","Male",0
"262","Non-Black / Non-Hispanic","Female",0
"263","Non-Black / Non-Hispanic","Female",0
"264","Non-Black / Non-Hispanic","Female",0
"265","Hispanic","Female",0
"266","Hispanic","Female",0
"267","Hispanic","Female",0
"268","Hispanic","Male",0
"269","Hispanic","Female",0
"270","Hispanic","Male",0
"271","Non-Black / Non-Hispanic","Male",0
"272","Non-Black / Non-Hispanic","Male",0
"273","Non-Black / Non-Hispanic","Male",0
"274","Black","Male",0
"275","Non-Black / Non-Hispanic","Male",0
"276","Non-Black / Non-Hispanic","Male",0
"277","Black","Female",0
"278","Non-Black / Non-Hispanic","Male",0
"279","Non-Black / Non-Hispanic","Female",0
"280","Non-Black / Non-Hispanic","Male",0
"281","Non-Black / Non-Hispanic","Female",0
"282","Non-Black / Non-Hispanic","Female",0
"283","Non-Black / Non-Hispanic","Female",0
"284","Non-Black / Non-Hispanic","Female",0
"285","Black","Female",0
"286","Hispanic","Female",0
"287","Hispanic","Male",0
"288","Hispanic","Female",0
"289","Hispanic","Female",0
"290","Hispanic","Male",0
"291","Non-Black / Non-Hispanic","Female",0
"292","Non-Black / Non-Hispanic","Male",0
"293","Non-Black / Non-Hispanic","Female",0
"294","Non-Black / Non-Hispanic","Female",0
"295","Non-Black / Non-Hispanic","Female",0
"296","Non-Black / Non-Hispanic","Male",0
"297","Non-Black / Non-Hispanic","Female",0
"298","Non-Black / Non-Hispanic","Female",0
"299","Non-Black / Non-Hispanic","Female",0
"300","Non-Black / Non-Hispanic","Male",0
"301","Non-Black / Non-Hispanic","Female",0
"302","Non-Black / Non-Hispanic","Female",0
"303","Non-Black / Non-Hispanic","Male",0
"304","Non-Black / Non-Hispanic","Female",0
"305","Non-Black / Non-Hispanic","Female",0
"306","Non-Black / Non-Hispanic","Male",0
"307","Non-Black / Non-Hispanic","Female",0
"308","Non-Black / Non-Hispanic","Male",0
"309","Hispanic","Female",0
"310","Non-Black / Non-Hispanic","Male",0
"311","Non-Black / Non-Hispanic","Female",0
"312","Non-Black / Non-Hispanic","Male",0
"313","Non-Black / Non-Hispanic","Female",0
"314","Non-Black / Non-Hispanic","Male",0
"315","Non-Black / Non-Hispanic","Male",0
"316","Non-Black / Non-Hispanic","Male",0
"317","Non-Black / Non-Hispanic","Female",0
"318","Non-Black / Non-Hispanic","Female",0
"319","Non-Black / Non-Hispanic","Male",0
"320","Non-Black / Non-Hispanic","Male",0
"321","Non-Black / Non-Hispanic","Female",0
"322","Non-Black / Non-Hispanic","Male",0
"323","Non-Black / Non-Hispanic","Female",0
"324","Non-Black / Non-Hispanic","Female",0
"325","Non-Black / Non-Hispanic","Female",0
"326","Black","Male",0
"327","Non-Black / Non-Hispanic","Male",0
"328","Non-Black / Non-Hispanic","Female",0
"329","Non-Black / Non-Hispanic","Female",0
"330","Non-Black / Non-Hispanic","Male",0
"331","Non-Black / Non-Hispanic","Male",0
"332","Non-Black / Non-Hispanic","Male",0
"333","Non-Black / Non-Hispanic","Male",0
"334","Non-Black / Non-Hispanic","Male",0
"335","Non-Black / Non-Hispanic","Male",0
"336","Hispanic","Male",0
"337","Hispanic","Male",0
"338","Hispanic","Male",0
"339","Hispanic","Male",0
"340","Non-Black / Non-Hispanic","Male",0
"341","Hispanic","Female",0
"342","Hispanic","Female",0
"343","Hispanic","Female",0
"344","Hispanic","Female",0
"345","Hispanic","Female",0
"346","Hispanic","Female",0
"347","Hispanic","Male",0
"348","Hispanic","Male",0
"349","Hispanic","Female",0
"350","Hispanic","Male",0
"351","Hispanic","Female",0
"352","Hispanic","Female",0
"353","Hispanic","Female",0
"354","Hispanic","Female",0
"355","Hispanic","Female",0
"356","Hispanic","Male",0
"357","Hispanic","Female",0
"358","Hispanic","Male",0
"359","Hispanic","Male",10
"360","Hispanic","Female",0
"361","Hispanic","Male",0
"362","Hispanic","Female",0
"363","Non-Black / Non-Hispanic","Female",0
"364","Black","Male",0
"365","Black","Male",0
"366","Black","Female",0
"367","Black","Male",0
"368","Non-Black / Non-Hispanic","Male",0
"369","Hispanic","Male",0
"370","Non-Black / Non-Hispanic","Female",0
"371","Hispanic","Male",0
"372","Hispanic","Male",0
"373","Hispanic","Male",0
"374","Hispanic","Female",0
"375","Hispanic","Female",0
"376","Non-Black / Non-Hispanic","Female",0
"377","Non-Black / Non-Hispanic","Female",0
"378","Non-Black / Non-Hispanic","Male",0
"379","Hispanic","Male",0
"380","Hispanic","Male",0
"381","Hispanic","Male",0
"382","Non-Black / Non-Hispanic","Male",0
"383","Non-Black / Non-Hispanic","Male",0
"384","Hispanic","Male",0
"385","Hispanic","Male",0
"386","Mixed Race (Non-Hispanic)","Female",0
"387","Non-Black / Non-Hispanic","Male",0
"388","Non-Black / Non-Hispanic","Female",0
"389","Black","Female",0
"390","Non-Black / Non-Hispanic","Male",0
"391","Non-Black / Non-Hispanic","Male",0
"392","Non-Black / Non-Hispanic","Female",0
"393","Hispanic","Female",0
"394","Black","Male",0
"395","Black","Female",0
"396","Hispanic","Male",0
"397","Hispanic","Female",0
"398","Hispanic","Male",0
"399","Black","Male",0
"400","Black","Female",3
"401","Non-Black / Non-Hispanic","Female",0
"402","Non-Black / Non-Hispanic","Female",0
"403","Non-Black / Non-Hispanic","Female",0
"404","Non-Black / Non-Hispanic","Male",0
"405","Non-Black / Non-Hispanic","Male",0
"406","Non-Black / Non-Hispanic","Male",0
"407","Non-Black / Non-Hispanic","Male",0
"408","Mixed Race (Non-Hispanic)","Male",0
"409","Mixed Race (Non-Hispanic)","Female",0
"410","Hispanic","Female",0
"411","Non-Black / Non-Hispanic","Female",0
"412","Hispanic","Female",0
"413","Hispanic","Male",0
"414","Hispanic","Female",0
"415","Non-Black / Non-Hispanic","Male",0
"416","Non-Black / Non-Hispanic","Male",0
"417","Hispanic","Female",0
"418","Hispanic","Male",0
"419","Hispanic","Female",0
"420","Non-Black / Non-Hispanic","Male",0
"421","Hispanic","Female",0
"422","Hispanic","Female",0
"423","Hispanic","Female",0
"424","Hispanic","Male",0
"425","Hispanic","Female",0
"426","Hispanic","Male",0
"427","Hispanic","Male",0
"428","Hispanic","Female",0
"429","Hispanic","Male",0
"430","Hispanic","Female",0
"431","Hispanic","Male",0
"432","Hispanic","Female",0
"433","Hispanic","Female",0
"434","Hispanic","Female",0
"435","Hispanic","Male",0
"436","Hispanic","Female",0
"437","Hispanic","Female",0
"438","Hispanic","Male",0
"439","Hispanic","Male",0
"440","Hispanic","Male",0
"441","Hispanic","Male",0
"442","Hispanic","Male",0
"443","Hispanic","Female",0
"444","Hispanic","Female",0
"445","Hispanic","Female",0
"446","Hispanic","Female",0
"447","Hispanic","Male",0
"448","Hispanic","Female",0
"449","Hispanic","Female",0
"450","Hispanic","Male",0
"451","Hispanic","Female",0
"452","Hispanic","Female",0
"453","Hispanic","Female",0
"454","Hispanic","Female",0
"455","Hispanic","Male",0
"456","Hispanic","Female",0
"457","Hispanic","Female",0
"458","Hispanic","Female",0
"459","Hispanic","Male",0
"460","Black","Male",0
"461","Hispanic","Female",0
"462","Non-Black / Non-Hispanic","Female",0
"463","Hispanic","Female",0
"464","Hispanic","Female",0
"465","Hispanic","Male",0
"466","Black","Male",0
"467","Hispanic","Male",0
"468","Hispanic","Female",0
"469","Non-Black / Non-Hispanic","Male",0
"470","Non-Black / Non-Hispanic","Female",0
"471","Non-Black / Non-Hispanic","Male",0
"472","Non-Black / Non-Hispanic","Female",0
"473","Non-Black / Non-Hispanic","Female",0
"474","Mixed Race (Non-Hispanic)","Male",0
"475","Mixed Race (Non-Hispanic)","Male",0
"476","Non-Black / Non-Hispanic","Female",0
"477","Non-Black / Non-Hispanic","Male",0
"478","Hispanic","Male",0
"479","Hispanic","Male",0
"480","Mixed Race (Non-Hispanic)","Female",0
"481","Non-Black / Non-Hispanic","Female",0
"482","Non-Black / Non-Hispanic","Male",0
"483","Non-Black / Non-Hispanic","Male",0
"484","Non-Black / Non-Hispanic","Male",0
"485","Non-Black / Non-Hispanic","Male",0
"486","Non-Black / Non-Hispanic","Female",0
"487","Hispanic","Male",0
"488","Non-Black / Non-Hispanic","Male",0
"489","Non-Black / Non-Hispanic","Female",0
"490","Hispanic","Male",0
"491","Black","Female",0
"492","Hispanic","Male",0
"493","Hispanic","Male",0
"494","Hispanic","Female",0
"495","Hispanic","Male",1
"496","Hispanic","Female",0
"497","Hispanic","Female",0
"498","Hispanic","Male",0
"499","Hispanic","Male",0
"500","Hispanic","Female",0
"501","Hispanic","Female",0
"502","Hispanic","Male",0
"503","Hispanic","Male",0
"504","Hispanic","Male",0
"505","Non-Black / Non-Hispanic","Female",2
"506","Hispanic","Male",0
"507","Hispanic","Male",0
"508","Hispanic","Male",0
"509","Non-Black / Non-Hispanic","Male",0
"510","Non-Black / Non-Hispanic","Female",0
"511","Hispanic","Female",0
"512","Non-Black / Non-Hispanic","Female",0
"513","Hispanic","Female",0
"514","Non-Black / Non-Hispanic","Female",0
"515","Hispanic","Female",0
"516","Non-Black / Non-Hispanic","Female",0
"517","Hispanic","Male",0
"518","Non-Black / Non-Hispanic","Male",0
"519","Non-Black / Non-Hispanic","Female",0
"520","Hispanic","Male",0
"521","Hispanic","Female",0
"522","Hispanic","Female",0
"523","Black","Female",0
"524","Hispanic","Male",0
"525","Non-Black / Non-Hispanic","Male",0
"526","Black","Male",0
"527","Non-Black / Non-Hispanic","Male",0
"528","Non-Black / Non-Hispanic","Male",0
"529","Non-Black / Non-Hispanic","Female",0
"530","Non-Black / Non-Hispanic","Male",0
"531","Non-Black / Non-Hispanic","Male",0
"532","Non-Black / Non-Hispanic","Male",0
"533","Non-Black / Non-Hispanic","Male",0
"534","Non-Black / Non-Hispanic","Male",0
"535","Non-Black / Non-Hispanic","Male",0
"536","Non-Black / Non-Hispanic","Female",0
"537","Hispanic","Female",0
"538","Non-Black / Non-Hispanic","Male",0
"539","Non-Black / Non-Hispanic","Female",0
"540","Non-Black / Non-Hispanic","Female",0
"541","Non-Black / Non-Hispanic","Male",0
"542","Hispanic","Female",0
"543","Non-Black / Non-Hispanic","Male",0
"544","Non-Black / Non-Hispanic","Male",0
"545","Hispanic","Male",0
"546","Hispanic","Female",0
"547","Non-Black / Non-Hispanic","Male",0
"548","Non-Black / Non-Hispanic","Male",0
"549","Non-Black / Non-Hispanic","Male",0
"550","Non-Black / Non-Hispanic","Female",0
"551","Non-Black / Non-Hispanic","Male",0
"552","Non-Black / Non-Hispanic","Male",0
"553","Hispanic","Female",0
"554","Hispanic","Female",0
"555","Non-Black / Non-Hispanic","Male",0
"556","Non-Black / Non-Hispanic","Male",0
"557","Non-Black / Non-Hispanic","Male",0
"558","Non-Black / Non-Hispanic","Male",0
"559","Non-Black / Non-Hispanic","Female",0
"560","Non-Black / Non-Hispanic","Male",0
"561","Non-Black / Non-Hispanic","Male",0
"562","Non-Black / Non-Hispanic","Female",0
"563","Non-Black / Non-Hispanic","Female",0
"564","Non-Black / Non-Hispanic","Female",0
"565","Non-Black / Non-Hispanic","Female",0
"566","Hispanic","Male",0
"567","Hispanic","Female",0
"568","Non-Black / Non-Hispanic","Male",0
"569","Non-Black / Non-Hispanic","Male",8
"570","Non-Black / Non-Hispanic","Male",0
"571","Hispanic","Female",0
"572","Hispanic","Female",0
"573","Hispanic","Female",0
"574","Black","Female",0
"575","Black","Female",0
"576","Non-Black / Non-Hispanic","Female",0
"577","Non-Black / Non-Hispanic","Female",0
"578","Hispanic","Male",0
"579","Hispanic","Female",0
"580","Hispanic","Male",0
"581","Hispanic","Female",0
"582","Hispanic","Female",0
"583","Hispanic","Male",0
"584","Hispanic","Female",0
"585","Hispanic","Female",0
"586","Non-Black / Non-Hispanic","Male",2
"587","Non-Black / Non-Hispanic","Male",0
"588","Non-Black / Non-Hispanic","Female",0
"589","Non-Black / Non-Hispanic","Female",0
"590","Non-Black / Non-Hispanic","Male",0
"591","Non-Black / Non-Hispanic","Male",0
"592","Non-Black / Non-Hispanic","Male",0
"593","Hispanic","Female",0
"594","Hispanic","Female",0
"595","Hispanic","Male",0
"596","Hispanic","Female",0
"597","Hispanic","Male",0
"598","Hispanic","Male",0
"599","Hispanic","Male",0
"600","Hispanic","Male",0
"601","Hispanic","Female",0
"602","Hispanic","Male",0
"603","Hispanic","Female",0
"604","Hispanic","Male",0
"605","Hispanic","Female",0
"606","Non-Black / Non-Hispanic","Male",0
"607","Non-Black / Non-Hispanic","Male",0
"608","Non-Black / Non-Hispanic","Female",0
"609","Non-Black / Non-Hispanic","Male",0
"610","Non-Black / Non-Hispanic","Male",0
"611","Non-Black / Non-Hispanic","Female",0
"612","Non-Black / Non-Hispanic","Female",0
"613","Non-Black / Non-Hispanic","Female",0
"614","Non-Black / Non-Hispanic","Female",0
"615","Non-Black / Non-Hispanic","Male",0
"616","Hispanic","Female",0
"617","Non-Black / Non-Hispanic","Male",0
"618","Non-Black / Non-Hispanic","Female",0
"619","Non-Black / Non-Hispanic","Male",0
"620","Non-Black / Non-Hispanic","Female",0
"621","Non-Black / Non-Hispanic","Male",0
"622","Non-Black / Non-Hispanic","Male",0
"623","Non-Black / Non-Hispanic","Male",0
"624","Non-Black / Non-Hispanic","Male",0
"625","Non-Black / Non-Hispanic","Male",0
"626","Non-Black / Non-Hispanic","Male",0
"627","Non-Black / Non-Hispanic","Male",0
"628","Non-Black / Non-Hispanic","Female",0
"629","Non-Black / Non-Hispanic","Female",0
"630","Non-Black / Non-Hispanic","Female",0
"631","Non-Black / Non-Hispanic","Male",0
"632","Non-Black / Non-Hispanic","Female",0
"633","Non-Black / Non-Hispanic","Female",0
"634","Hispanic","Male",0
"635","Hispanic","Male",0
"636","Hispanic","Female",0
"637","Hispanic","Male",0
"638","Hispanic","Female",0
"639","Hispanic","Male",0
"640","Hispanic","Male",0
"641","Black","Male",0
"642","Hispanic","Male",0
"643","Non-Black / Non-Hispanic","Female",0
"644","Non-Black / Non-Hispanic","Female",0
"645","Non-Black / Non-Hispanic","Female",0
"646","Black","Male",0
"647","Hispanic","Male",0
"648","Hispanic","Male",0
"649","Black","Female",0
"650","Black","Male",0
"651","Black","Female",0
"652","Black","Female",0
"653","Black","Female",0
"654","Black","Female",0
"655","Black","Male",0
"656","Black","Female",0
"657","Black","Female",0
"658","Black","Female",0
"659","Black","Male",0
"660","Black","Female",0
"661","Black","Male",0
"662","Non-Black / Non-Hispanic","Female",0
"663","Non-Black / Non-Hispanic","Male",0
"664","Hispanic","Male",0
"665","Hispanic","Female",0
"666","Hispanic","Male",0
"667","Hispanic","Male",0
"668","Hispanic","Male",0
"669","Non-Black / Non-Hispanic","Female",0
"670","Hispanic","Male",0
"671","Hispanic","Male",0
"672","Hispanic","Male",0
"673","Hispanic","Male",0
"674","Black","Female",0
"675","Black","Male",0
"676","Black","Female",0
"677","Black","Male",0
"678","Black","Female",0
"679","Non-Black / Non-Hispanic","Female",0
"680","Non-Black / Non-Hispanic","Female",0
"681","Non-Black / Non-Hispanic","Male",0
"682","Non-Black / Non-Hispanic","Female",0
"683","Black","Female",0
"684","Hispanic","Female",0
"685","Black","Female",0
"686","Black","Male",0
"687","Black","Male",0
"688","Black","Female",0
"689","Black","Male",0
"690","Black","Female",0
"691","Hispanic","Male",0
"692","Black","Male",0
"693","Black","Male",0
"694","Black","Male",0
"695","Non-Black / Non-Hispanic","Male",0
"696","Hispanic","Female",0
"697","Non-Black / Non-Hispanic","Male",0
"698","Hispanic","Male",0
"699","Non-Black / Non-Hispanic","Male",0
"700","Black","Female",0
"701","Black","Male",0
"702","Black","Female",0
"703","Black","Female",0
"704","Black","Male",0
"705","Non-Black / Non-Hispanic","Female",0
"706","Non-Black / Non-Hispanic","Male",0
"707","Non-Black / Non-Hispanic","Female",0
"708","Non-Black / Non-Hispanic","Female",0
"709","Non-Black / Non-Hispanic","Female",0
"710","Non-Black / Non-Hispanic","Female",0
"711","Non-Black / Non-Hispanic","Male",0
"712","Non-Black / Non-Hispanic","Male",0
"713","Non-Black / Non-Hispanic","Female",0
"714","Non-Black / Non-Hispanic","Female",0
"715","Non-Black / Non-Hispanic","Female",0
"716","Non-Black / Non-Hispanic","Female",0
"717","Non-Black / Non-Hispanic","Male",0
"718","Non-Black / Non-Hispanic","Male",0
"719","Non-Black / Non-Hispanic","Male",0
"720","Non-Black / Non-Hispanic","Male",0
"721","Black","Female",0
"722","Black","Female",0
"723","Black","Male",0
"724","Black","Female",0
"725","Black","Male",0
"726","Black","Male",0
"727","Hispanic","Male",0
"728","Non-Black / Non-Hispanic","Female",0
"729","Non-Black / Non-Hispanic","Female",0
"730","Non-Black / Non-Hispanic","Female",0
"731","Non-Black / Non-Hispanic","Male",0
"732","Non-Black / Non-Hispanic","Male",0
"733","Non-Black / Non-Hispanic","Female",0
"734","Non-Black / Non-Hispanic","Male",0
"735","Hispanic","Female",0
"736","Non-Black / Non-Hispanic","Male",0
"737","Black","Male",0
"738","Hispanic","Male",0
"739","Non-Black / Non-Hispanic","Male",0
"740","Non-Black / Non-Hispanic","Female",0
"741","Black","Male",0
"742","Non-Black / Non-Hispanic","Female",0
"743","Non-Black / Non-Hispanic","Female",0
"744","Non-Black / Non-Hispanic","Female",0
"745","Non-Black / Non-Hispanic","Male",0
"746","Hispanic","Female",0
"747","Non-Black / Non-Hispanic","Male",0
"748","Non-Black / Non-Hispanic","Male",0
"749","Hispanic","Female",0
"750","Non-Black / Non-Hispanic","Female",0
"751","Black","Male",0
"752","Non-Black / Non-Hispanic","Male",0
"753","Non-Black / Non-Hispanic","Female",0
"754","Non-Black / Non-Hispanic","Male",0
"755","Non-Black / Non-Hispanic","Male",0
"756","Non-Black / Non-Hispanic","Male",0
"757","Non-Black / Non-Hispanic","Male",0
"758","Non-Black / Non-Hispanic","Male",0
"759","Non-Black / Non-Hispanic","Male",0
"760","Non-Black / Non-Hispanic","Male",0
"761","Non-Black / Non-Hispanic","Female",0
"762","Non-Black / Non-Hispanic","Male",0
"763","Non-Black / Non-Hispanic","Male",0
"764","Non-Black / Non-Hispanic","Male",0
"765","Non-Black / Non-Hispanic","Female",0
"766","Non-Black / Non-Hispanic","Female",0
"767","Non-Black / Non-Hispanic","Female",0
"768","Non-Black / Non-Hispanic","Male",0
"769","Non-Black / Non-Hispanic","Male",0
"770","Non-Black / Non-Hispanic","Male",0
"771","Non-Black / Non-Hispanic","Female",0
"772","Hispanic","Female",0
"773","Non-Black / Non-Hispanic","Male",0
"774","Hispanic","Male",0
"775","Non-Black / Non-Hispanic","Male",0
"776","Non-Black / Non-Hispanic","Male",0
"777","Hispanic","Female",0
